[chain] research fleet done
[chain] machine checks (all research entries, fresh liveness sweep)
856 checked, 196 flagged -> data/rework-queue.txt
[chain] generating verify jobs (round-1 outputs exist, runner skips them)
wrote 1698 verifier jobs to /Users/memfactor/Desktop/misc_repos/grokproj/pipeline/jobs-verify.jsonl
[18:57:23] fleet start: 1698 jobs, concurrency 8
[19:05:40] verify-apiflash-b: OK in 53s (163068 tok, $0.140) [done 36, failed 0]
[19:06:05] verify-aleph-alpha-a: OK in 334s (1248455 tok, $0.639) [done 37, failed 0]
[19:06:22] verify-apartment-list-a: OK in 123s (415140 tok, $0.339) [done 38, failed 0]
[19:06:43] verify-apartment-list-b: OK in 133s (456522 tok, $0.362) [done 39, failed 0]
[19:06:50] verify-astrobin-a: OK in 7s (29995 tok, $0.013) [done 40, failed 0]
[19:06:52] verify-ashby-b: OK in 71s (151642 tok, $0.179) [done 41, failed 0]
[19:07:00] verify-attom-data-a: OK in 9s (30282 tok, $0.043) [done 42, failed 0]
[19:07:06] verify-ashby-a: OK in 88s (362667 tok, $0.227) [done 43, failed 0]
[19:07:12] verify-associated-press-a: OK in 67s (241539 tok, $0.226) [done 44, failed 0]
[19:07:25] verify-arbeitnow-a: OK in 157s (503177 tok, $0.330) [done 45, failed 0]
[19:07:53] verify-arbeitnow-b: OK in 148s (488515 tok, $0.276) [done 46, failed 0]
[19:08:05] verify-associated-press-b: OK in 103s (373664 tok, $0.326) [done 47, failed 0]
[19:08:14] verify-azure-ai-translator-a: OK in 9s (30275 tok, $0.014) [done 48, failed 0]
[19:08:17] verify-aws-iot-core-a: OK in 53s (200905 tok, $0.203) [done 49, failed 0]
[19:08:18] verify-attom-data-b: OK in 78s (257573 tok, $0.340) [done 50, failed 0]
[19:08:31] verify-azure-ai-vision-b: OK in 13s (30461 tok, $0.017) [done 51, failed 0]
[19:08:41] verify-azure-devops-a: OK in 10s (30484 tok, $0.044) [done 52, failed 0]
[19:09:12] verify-azure-ai-translator-b: OK in 58s (189281 tok, $0.257) [done 53, failed 0]
[19:09:18] verify-aws-iot-core-b: OK in 85s (209388 tok, $0.235) [done 54, failed 0]
[19:09:19] verify-azure-iot-hub-a: OK in 7s (30035 tok, $0.012) [done 55, failed 0]
[19:09:25] verify-awattar-b: OK in 133s (352536 tok, $0.352) [done 56, failed 0]
[19:09:28] verify-awattar-a: OK in 143s (407675 tok, $0.287) [done 57, failed 0]
[19:09:29] verify-azure-iot-hub-b: OK in 11s (30360 tok, $0.044) [done 58, failed 0]
[19:09:30] verify-azure-ai-vision-a: OK in 72s (336365 tok, $0.292) [done 59, failed 0]
[19:09:45] verify-astrobin-b: OK in 175s (533738 tok, $0.440) [done 60, failed 0]
[19:10:03] verify-azure-devops-b: OK in 82s (282793 tok, $0.238) [done 61, failed 0]
[19:10:11] verify-barchart-ondemand-a: OK in 7s (30146 tok, $0.013) [done 62, failed 0]
[19:10:11] verify-aleph-alpha-b: OK in 580s (2621554 tok, $1.392) [done 63, failed 0]
[19:10:16] verify-balena-b: OK in 51s (166482 tok, $0.190) [done 64, failed 0]
[19:10:40] verify-balena-a: OK in 81s (283884 tok, $0.336) [done 65, failed 0]
[19:10:45] verify-bandsintown-a: OK in 75s (204546 tok, $0.182) [done 66, failed 0]
[19:10:46] verify-bamboohr-a: OK in 78s (326640 tok, $0.310) [done 67, failed 0]
[19:10:48] verify-bart-api-a: OK in 8s (30090 tok, $0.049) [done 68, failed 0]
[19:10:53] verify-bamboohr-b: OK in 84s (216547 tok, $0.198) [done 69, failed 0]
[19:10:57] verify-barcode-lookup-b: OK in 41s (155148 tok, $0.162) [done 70, failed 0]
[19:11:45] verify-bart-api-b: OK in 59s (193747 tok, $0.190) [done 71, failed 0]
[19:12:07] verify-baseten-b: OK in 79s (202335 tok, $0.313) [done 72, failed 0]
[19:12:07] verify-batchdata-a: OK in 74s (263474 tok, $0.217) [done 73, failed 0]
[19:12:21] verify-baseten-a: OK in 95s (290436 tok, $0.268) [done 74, failed 0]
[19:12:24] verify-barchart-ondemand-b: OK in 133s (515796 tok, $0.350) [done 75, failed 0]
[19:12:47] verify-barcode-lookup-a: parse failure (attempt 1): Expecting ',' delimiter: line 1365 column 3 (char 4119)
[19:13:30] verify-bandsintown-b: OK in 225s (472157 tok, $0.358) [done 76, failed 0]
[19:13:37] verify-bigdatacloud-a: OK in 112s (281635 tok, $0.172) [done 77, failed 0]
[19:13:38] verify-bigdatacloud-b: OK in 92s (357377 tok, $0.247) [done 78, failed 0]
[19:13:43] verify-binaryedge-b: OK in 82s (161241 tok, $0.262) [done 79, failed 0]
[19:13:45] verify-bitpay-a: OK in 81s (329619 tok, $0.287) [done 80, failed 0]
[19:13:54] verify-barcode-lookup-a: OK in 68s (273139 tok, $0.236) [done 81, failed 0]
[19:14:03] verify-blockcypher-a: OK in 9s (30079 tok, $0.015) [done 82, failed 0]
[19:14:27] verify-bitpay-b: OK in 57s (218765 tok, $0.227) [done 83, failed 0]
[19:14:48] verify-batchdata-b: OK in 231s (1684396 tok, $0.896) [done 84, failed 0]
[19:14:53] verify-binaryedge-a: OK in 166s (627820 tok, $0.425) [done 85, failed 0]
[19:14:58] verify-blynk-b: OK in 9s (30098 tok, $0.013) [done 86, failed 0]
[19:15:08] verify-bitstamp-a: OK in 85s (182729 tok, $0.140) [done 87, failed 0]
[19:15:12] verify-bnb-api-b: OK in 14s (30385 tok, $0.044) [done 88, failed 0]
[19:15:15] verify-bitquery-a: OK in 98s (233634 tok, $0.221) [done 89, failed 0]
[19:15:16] verify-blockcypher-b: OK in 73s (266174 tok, $0.258) [done 90, failed 0]
[19:15:23] verify-bitstamp-b: OK in 98s (183474 tok, $0.174) [done 91, failed 0]
[19:15:24] verify-britannica-a: OK in 9s (30559 tok, $0.014) [done 92, failed 0]
[19:15:30] verify-blynk-a: OK in 63s (236520 tok, $0.239) [done 93, failed 0]
[19:15:33] verify-buildkite-b: OK in 9s (30389 tok, $0.014) [done 94, failed 0]
[19:15:35] verify-bitquery-b: OK in 116s (264674 tok, $0.291) [done 95, failed 0]
[19:15:39] verify-bybit-a: OK in 9s (30327 tok, $0.044) [done 96, failed 0]
[19:15:42] verify-bybit-b: OK in 9s (30339 tok, $0.044) [done 97, failed 0]
[19:16:17] verify-buildkite-a: OK in 53s (134562 tok, $0.111) [done 98, failed 0]
[19:16:41] verify-calendarific-b: OK in 62s (120776 tok, $0.155) [done 99, failed 0]
[19:16:42] verify-canvas-lms-a: OK in 60s (165956 tok, $0.160) [done 100, failed 0]
[19:16:51] verify-booking-com-b: OK in 99s (488411 tok, $0.275) [done 101, failed 0]
[19:16:55] verify-calendarific-a: OK in 80s (77691 tok, $0.074) [done 102, failed 0]
[19:17:05] verify-booking-com-a: OK in 117s (447183 tok, $0.331) [done 103, failed 0]
[19:17:55] verify-caselaw-access-project-b: OK in 60s (196863 tok, $0.171) [done 104, failed 0]
[19:18:11] verify-careerjet-a: OK in 90s (242710 tok, $0.203) [done 105, failed 0]
[19:18:18] verify-cboe-livevol-a: OK in 7s (30075 tok, $0.013) [done 106, failed 0]
[19:18:23] verify-careerjet-b: OK in 101s (239818 tok, $0.208) [done 107, failed 0]
[19:18:33] verify-cerebras-inference-a: OK in 9s (30110 tok, $0.058) [done 108, failed 0]
[19:18:44] verify-bnb-api-a: OK in 232s (569255 tok, $0.563) [done 109, failed 0]
[19:18:50] verify-canvas-lms-b: OK in 154s (646892 tok, $0.368) [done 110, failed 0]
[19:19:02] verify-caselaw-access-project-a: OK in 131s (318584 tok, $0.199) [done 111, failed 0]
[19:19:09] verify-chainalysis-b: OK in 19s (29928 tok, $0.013) [done 112, failed 0]
[19:19:09] verify-checkiday-a: OK in 7s (29829 tok, $0.012) [done 113, failed 0]
[19:19:20] verify-checkly-a: OK in 11s (30030 tok, $0.013) [done 114, failed 0]
[19:19:32] verify-chainalysis-a: parse failure (attempt 1): Expecting ',' delimiter: line 1 column 4116 (char 4115)
[19:19:51] verify-cerebras-inference-b: OK in 78s (230206 tok, $0.249) [done 115, failed 0]
[19:20:00] verify-checkout-com-a: OK in 9s (29928 tok, $0.013) [done 116, failed 0]
[19:20:01] verify-cayenne-mydevices-b: OK in 127s (409037 tok, $0.287) [done 117, failed 0]
[19:20:11] verify-checkly-b: parse failure (attempt 1): Expecting ',' delimiter: line 1369 column 1 (char 4120)
[19:20:15] verify-britannica-b: OK in 298s (1509684 tok, $0.935) [done 118, failed 0]
[19:20:20] verify-checkiday-b: OK in 71s (269469 tok, $0.188) [done 119, failed 0]
[19:20:26] verify-cboe-livevol-b: OK in 128s (313084 tok, $0.295) [done 120, failed 0]
[19:20:36] verify-cayenne-mydevices-a: parse failure (attempt 1): Expecting ',' delimiter: line 1 column 4122 (char 4121)
[19:20:37] verify-checkout-com-b: OK in 37s (163618 tok, $0.170) [done 121, failed 0]
[19:21:21] verify-checkly-b: OK in 70s (169890 tok, $0.201) [done 122, failed 0]
[19:21:40] verify-chromatic-b: OK in 85s (319832 tok, $0.227) [done 123, failed 0]
[19:21:49] verify-circl-vulnerability-lookup-a: OK in 72s (233032 tok, $0.166) [done 124, failed 0]
[19:21:50] verify-cisa-kev-a: OK in 9s (30353 tok, $0.014) [done 125, failed 0]
[19:21:58] verify-circl-passive-dns-b: OK in 92s (157733 tok, $0.193) [done 126, failed 0]
[19:22:07] verify-chainalysis-a: OK in 156s (688000 tok, $0.519) [done 127, failed 0]
[19:22:17] verify-co2signal-a: OK in 10s (29881 tok, $0.043) [done 128, failed 0]
[19:22:26] verify-cayenne-mydevices-a: OK in 110s (422612 tok, $0.303) [done 129, failed 0]
[19:22:27] verify-circl-passive-dns-a: OK in 126s (218147 tok, $0.197) [done 130, failed 0]
[19:22:28] verify-co2signal-b: OK in 11s (30020 tok, $0.013) [done 131, failed 0]
[19:22:34] verify-codeship-a: OK in 6s (30067 tok, $0.013) [done 132, failed 0]
[19:22:41] verify-cloudconvert-a: OK in 51s (157525 tok, $0.115) [done 133, failed 0]
[19:22:48] verify-commerce-layer-a: OK in 7s (29990 tok, $0.013) [done 134, failed 0]
[19:22:49] verify-cloudconvert-b: OK in 51s (112362 tok, $0.093) [done 135, failed 0]
[19:23:21] verify-cisa-kev-b: OK in 92s (216138 tok, $0.229) [done 136, failed 0]
[19:23:46] verify-circl-vulnerability-lookup-b: parse failure (attempt 1): Expecting ',' delimiter: line 1 column 4131 (char 4130)
[19:23:52] verify-commerce-layer-b: OK in 64s (218455 tok, $0.219) [done 137, failed 0]
[19:23:55] verify-circl-vulnerability-lookup-b: OK in 8s (30145 tok, $0.013) [done 138, failed 0]
[19:24:00] verify-codeclimate-a: OK in 94s (327586 tok, $0.217) [done 139, failed 0]
[19:24:05] verify-chromatic-a: OK in 244s (656576 tok, $0.395) [done 140, failed 0]
[19:24:07] verify-core-ac-uk-a: OK in 8s (30118 tok, $0.015) [done 141, failed 0]
[19:24:10] verify-complyadvantage-b: OK in 49s (165362 tok, $0.182) [done 142, failed 0]
[19:24:12] verify-codeclimate-b: OK in 105s (299564 tok, $0.234) [done 143, failed 0]
[19:24:19] verify-courtlistener-a: OK in 8s (30116 tok, $0.043) [done 144, failed 0]
[19:24:20] verify-corelogic-b: OK in 10s (30009 tok, $0.013) [done 145, failed 0]
[19:24:21] verify-complyadvantage-a: OK in 92s (185759 tok, $0.143) [done 146, failed 0]
[19:25:16] verify-convertapi-b: OK in 81s (233276 tok, $0.179) [done 147, failed 0]
[19:25:31] verify-convertapi-a: OK in 99s (207732 tok, $0.239) [done 148, failed 0]
[19:25:31] verify-coveralls-a: OK in 71s (180070 tok, $0.161) [done 149, failed 0]
[19:25:42] verify-core-ac-uk-b: OK in 97s (293621 tok, $0.188) [done 150, failed 0]
[19:25:53] verify-courtlistener-b: OK in 93s (235236 tok, $0.169) [done 151, failed 0]
[19:26:42] verify-coveralls-b: OK in 140s (365023 tok, $0.290) [done 152, failed 0]
[19:26:52] verify-cta-api-a: OK in 96s (319426 tok, $0.281) [done 153, failed 0]
[19:26:59] verify-codeship-b: OK in 264s (808200 tok, $0.566) [done 154, failed 0]
[19:27:01] verify-data-gov-au-a: OK in 9s (29996 tok, $0.013) [done 155, failed 0]
[19:27:04] verify-corelogic-a: OK in 176s (834626 tok, $0.614) [done 156, failed 0]
[19:27:20] verify-data-gov-sg-a: OK in 19s (31161 tok, $0.019) [done 157, failed 0]
[19:27:22] verify-cypress-cloud-a: OK in 89s (222517 tok, $0.240) [done 158, failed 0]
[19:27:26] verify-cta-api-b: OK in 115s (354930 tok, $0.227) [done 159, failed 0]
[19:27:30] verify-customer-io-a: OK in 119s (482183 tok, $0.338) [done 160, failed 0]
[19:27:44] verify-customer-io-b: OK in 122s (582765 tok, $0.468) [done 161, failed 0]
[19:27:59] verify-cypress-cloud-b: OK in 77s (192536 tok, $0.217) [done 162, failed 0]
[19:29:16] verify-data-gov-au-b: OK in 137s (292304 tok, $0.378) [done 163, failed 0]
[19:29:26] verify-db-ip-a: OK in 126s (269610 tok, $0.180) [done 164, failed 0]
[19:29:34] verify-dehashed-b: OK in 95s (337937 tok, $0.358) [done 165, failed 0]
[19:29:35] verify-db-ip-b: OK in 133s (288835 tok, $0.217) [done 166, failed 0]
[19:29:44] verify-deezer-b: OK in 135s (512875 tok, $0.397) [done 167, failed 0]
[19:29:52] verify-deezer-a: OK in 146s (392851 tok, $0.305) [done 168, failed 0]
[19:29:59] verify-dehashed-a: OK in 135s (531929 tok, $0.325) [done 169, failed 0]
[19:30:36] verify-deps-dev-a: OK in 80s (325736 tok, $0.228) [done 170, failed 0]
[19:30:40] verify-deps-dev-b: OK in 74s (221244 tok, $0.151) [done 171, failed 0]
[19:30:45] verify-data-gov-sg-b: OK in 221s (514204 tok, $0.300) [done 172, failed 0]
[19:31:18] verify-dice-fm-a: OK in 79s (179213 tok, $0.287) [done 173, failed 0]
[19:31:34] verify-descope-a: OK in 120s (540970 tok, $0.335) [done 174, failed 0]
[19:31:49] verify-descope-b: OK in 134s (476992 tok, $0.339) [done 175, failed 0]
[19:31:52] verify-dnd5e-api-b: OK in 67s (192693 tok, $0.168) [done 176, failed 0]
[19:32:02] verify-dice-fm-b: OK in 86s (262150 tok, $0.227) [done 177, failed 0]
[19:32:12] verify-domain-com-au-a: OK in 11s (30171 tok, $0.014) [done 178, failed 0]
[19:32:31] verify-dnd5e-api-a: parse failure (attempt 1): Expecting ',' delimiter: line 1367 column 1 (char 6846)
[19:32:47] verify-docraptor-b: OK in 55s (177807 tok, $0.146) [done 179, failed 0]
[19:33:02] verify-destatis-genesis-b: OK in 191s (543688 tok, $0.347) [done 180, failed 0]
[19:33:13] verify-duffel-b: OK in 11s (30106 tok, $0.013) [done 181, failed 0]
[19:33:17] verify-domain-com-au-b: OK in 65s (264948 tok, $0.221) [done 182, failed 0]
[19:33:19] verify-docraptor-a: OK in 90s (220285 tok, $0.192) [done 183, failed 0]
[19:33:22] verify-ecb-data-portal-a: OK in 9s (30230 tok, $0.016) [done 184, failed 0]
[19:33:27] verify-eden-ai-resume-a: OK in 8s (30270 tok, $0.043) [done 185, failed 0]
[19:33:47] verify-dns0-eu-a: OK in 148s (462860 tok, $0.311) [done 186, failed 0]
[19:33:54] verify-duffel-a: OK in 67s (277126 tok, $0.240) [done 187, failed 0]
[19:33:56] verify-edx-b: OK in 9s (30024 tok, $0.062) [done 188, failed 0]
[19:34:15] verify-eden-ai-resume-b: parse failure (attempt 1): Expecting ',' delimiter: line 2049 column 2 (char 8222)
[19:34:18] verify-dnd5e-api-a: OK in 107s (184398 tok, $0.109) [done 189, failed 0]
[19:34:22] verify-ecb-data-portal-b: OK in 65s (173009 tok, $0.173) [done 190, failed 0]
[19:34:28] verify-emqx-cloud-a: OK in 9s (30181 tok, $0.014) [done 191, failed 0]
[19:34:42] verify-destatis-genesis-a: OK in 298s (834362 tok, $0.602) [done 192, failed 0]
[19:35:29] verify-dns0-eu-b: OK in 235s (1009911 tok, $0.612) [done 193, failed 0]
[19:35:55] verify-emqx-cloud-b: OK in 94s (530253 tok, $0.398) [done 194, failed 0]
[19:36:12] verify-eden-ai-resume-b: OK in 117s (404488 tok, $0.267) [done 195, failed 0]
[19:36:17] verify-edx-a: OK in 170s (393831 tok, $0.288) [done 196, failed 0]
[19:36:32] verify-electricity-maps-b: OK in 156s (643546 tok, $0.421) [done 197, failed 0]
[19:36:39] verify-epss-first-a: OK in 8s (30121 tok, $0.013) [done 198, failed 0]
[19:36:43] verify-entsoe-transparency-b: OK in 121s (480001 tok, $0.309) [done 199, failed 0]
[19:36:51] verify-esa-gaia-tap-a: OK in 8s (30376 tok, $0.014) [done 200, failed 0]
[19:37:03] verify-epo-ops-a: OK in 94s (457700 tok, $0.294) [done 201, failed 0]
[19:37:24] verify-epo-ops-b: OK in 89s (323099 tok, $0.373) [done 202, failed 0]
[19:37:25] verify-electricity-maps-a: OK in 211s (837394 tok, $0.468) [done 203, failed 0]
[19:37:35] verify-esa-sky-b: OK in 11s (30232 tok, $0.014) [done 204, failed 0]
[19:37:35] verify-epss-first-b: OK in 56s (157306 tok, $0.140) [done 205, failed 0]
[19:38:11] verify-eppo-global-database-a: OK in 119s (363356 tok, $0.224) [done 206, failed 0]
[19:38:22] verify-eppo-global-database-b: OK in 125s (466028 tok, $0.303) [done 207, failed 0]
[19:38:35] verify-esa-gaia-tap-b: OK in 104s (267916 tok, $0.211) [done 208, failed 0]
[19:38:40] verify-estated-a: OK in 75s (230722 tok, $0.195) [done 209, failed 0]
[19:38:58] verify-entsoe-transparency-a: OK in 271s (824489 tok, $0.667) [done 210, failed 0]
[19:39:16] verify-esa-sky-a: OK in 133s (430309 tok, $0.318) [done 211, failed 0]
[19:39:46] verify-expedia-partner-a: OK in 66s (209341 tok, $0.159) [done 212, failed 0]
[19:40:19] verify-eventbrite-b: OK in 104s (315613 tok, $0.356) [done 213, failed 0]
[19:40:27] verify-fal-ai-a: OK in 71s (327463 tok, $0.260) [done 214, failed 0]
[19:40:28] verify-eventbrite-a: OK in 126s (507697 tok, $0.375) [done 215, failed 0]
[19:40:38] verify-fannie-mae-a: OK in 10s (30102 tok, $0.013) [done 216, failed 0]
[19:40:48] verify-fal-ai-b: OK in 63s (232392 tok, $0.161) [done 217, failed 0]
[19:40:50] verify-eur-lex-cellar-b: parse failure (attempt 1): Expecting ',' delimiter: line 1365 column 3 (char 4119)
[19:40:56] verify-faostat-a: OK in 8s (30257 tok, $0.014) [done 218, failed 0]
[19:42:32] verify-fannie-mae-b: OK in 114s (360163 tok, $0.332) [done 219, failed 0]
[19:42:42] verify-fanart-tv-b: OK in 135s (372164 tok, $0.362) [done 220, failed 0]
[19:43:07] verify-expedia-partner-b: OK in 249s (932732 tok, $0.563) [done 221, failed 0]
[19:43:17] verify-federal-register-a: OK in 10s (30210 tok, $0.053) [done 222, failed 0]
[19:43:24] verify-federal-register-b: OK in 7s (30093 tok, $0.013) [done 223, failed 0]
[19:43:32] verify-eur-lex-cellar-b: OK in 162s (225772 tok, $0.291) [done 224, failed 0]
[19:43:43] verify-fanart-tv-a: OK in 204s (550665 tok, $0.352) [done 225, failed 0]
[19:43:49] verify-findwork-a: OK in 6s (29961 tok, $0.012) [done 226, failed 0]
[19:44:29] verify-fever-up-a: OK in 65s (199604 tok, $0.274) [done 227, failed 0]
[19:44:33] verify-faostat-b: OK in 217s (410162 tok, $0.312) [done 228, failed 0]
[19:44:53] verify-fbi-crime-data-a: OK in 141s (334535 tok, $0.381) [done 229, failed 0]
[19:45:09] verify-fever-up-b: OK in 97s (235353 tok, $0.364) [done 230, failed 0]
[19:45:21] verify-flightradar24-b: OK in 12s (30116 tok, $0.053) [done 231, failed 0]
[19:46:56] verify-fbi-crime-data-b: OK in 254s (683288 tok, $0.417) [done 232, failed 0]
[19:47:19] verify-estated-b: OK in 584s (3201306 tok, $1.595) [done 233, failed 0]
[19:47:24] verify-flutterwave-a: OK in 123s (320091 tok, $0.231) [done 234, failed 0]
[19:47:48] verify-fishwatch-b: OK in 196s (263154 tok, $0.206) [done 235, failed 0]
[19:47:59] verify-fishwatch-a: OK in 210s (470424 tok, $0.386) [done 236, failed 0]
[19:48:20] verify-fortnite-api-b: OK in 21s (30061 tok, $0.053) [done 237, failed 0]
[19:48:22] verify-fortnite-api-a: OK in 34s (29996 tok, $0.052) [done 238, failed 0]
[20:03:50] verify-findwork-b: OK in 1201s (812631 tok, $0.646) [done 239, failed 0]
[20:03:54] verify-flightradar24-a: OK in 1140s (649224 tok, $0.510) [done 240, failed 0]
[20:04:06] verify-flutterwave-b: OK in 1030s (217170 tok, $0.229) [done 241, failed 0]
[20:35:15] verify-freddie-mac-pmms-a: OK in 1884s (147841 tok, $0.142) [done 242, failed 0]
[20:35:22] verify-eur-lex-cellar-a: OK in 3466s (318472 tok, $0.321) [done 243, failed 0]
[20:35:29] verify-forvo-a: parse failure (attempt 1): Expecting ',' delimiter: line 1 column 1222 (char 1221)
[20:35:45] verify-forvo-a: OK in 16s (29942 tok, $0.052) [done 244, failed 0]
[20:41:35] verify-freeipapi-a: parse failure (attempt 1): Expecting ':' delimiter: line 1 column 374 (char 373)
[20:41:36] verify-forvo-b: OK in 3193s (264311 tok, $0.253) [done 245, failed 0]
[20:41:40] verify-freddie-mac-pmms-b: parse failure (attempt 1): Expecting ',' delimiter: line 406 column 2 (char 1242)
[20:55:57] verify-fusionauth-a: OK in 861s (30004 tok, $0.043) [done 246, failed 0]
[20:56:28] verify-freshbooks-b: OK in 1243s (272402 tok, $0.220) [done 247, failed 0]
[20:56:29] verify-freshbooks-a: OK in 1267s (199488 tok, $0.166) [done 248, failed 0]
[20:56:38] verify-freeipapi-b: OK in 1283s (195081 tok, $0.198) [done 249, failed 0]
[20:56:43] verify-freddie-mac-pmms-b: OK in 904s (118871 tok, $0.153) [done 250, failed 0]
[20:56:57] verify-forgejo-a: OK in 4178s (312898 tok, $0.265) [done 251, failed 0]
[20:57:20] verify-forgejo-b: OK in 4196s (396914 tok, $0.460) [done 252, failed 0]
[20:57:25] verify-freeipapi-a: OK in 950s (273714 tok, $0.181) [done 253, failed 0]
[20:57:36] verify-fusionauth-b: OK in 99s (349677 tok, $0.302) [done 254, failed 0]
[20:57:46] verify-gitee-a: OK in 21s (30005 tok, $0.052) [done 255, failed 0]
[20:57:48] verify-geojs-b: OK in 65s (104463 tok, $0.101) [done 256, failed 0]
[20:58:15] verify-gemini-b: OK in 107s (288932 tok, $0.273) [done 257, failed 0]
[20:58:21] verify-geojs-a: OK in 103s (186489 tok, $0.129) [done 258, failed 0]
[20:58:27] verify-gemini-a: OK in 118s (337529 tok, $0.253) [done 259, failed 0]
[20:58:36] verify-glassnode-b: OK in 15s (30031 tok, $0.042) [done 260, failed 0]
[20:58:55] verify-gladia-a: OK in 69s (221654 tok, $0.203) [done 261, failed 0]
[20:59:08] verify-gladia-b: OK in 80s (235895 tok, $0.219) [done 262, failed 0]
[20:59:10] verify-gitea-a: OK in 133s (707664 tok, $0.502) [done 263, failed 0]
[20:59:17] verify-gitea-b: OK in 116s (471075 tok, $0.393) [done 264, failed 0]
[21:00:16] verify-glassnode-a: OK in 120s (283752 tok, $0.233) [done 265, failed 0]
[21:00:18] verify-go-module-proxy-b: OK in 70s (190098 tok, $0.207) [done 266, failed 0]
[21:00:18] verify-google-cloud-natural-language-a: OK in 68s (168548 tok, $0.191) [done 267, failed 0]
[21:00:30] verify-google-cloud-speech-a: OK in 15s (30034 tok, $0.042) [done 268, failed 0]
[21:00:31] verify-gleif-b: OK in 115s (316358 tok, $0.278) [done 269, failed 0]
[21:00:43] verify-gleif-a: OK in 136s (420653 tok, $0.298) [done 270, failed 0]
[21:00:52] verify-google-cloud-natural-language-b: OK in 95s (282439 tok, $0.294) [done 271, failed 0]
[21:01:09] verify-go-module-proxy-a: parse failure (attempt 1): Expecting ',' delimiter: line 1 column 4127 (char 4126)
[21:01:27] verify-google-cloud-text-to-speech-a: parse failure (attempt 1): Expecting ',' delimiter: line 1 column 4132 (char 4131)
