[14:06:36] fleet start: 160 jobs, concurrency 8
[14:19:22] research-circleci: OK in 62s (190645 tok, $0.224) [done 63, failed 0]
[14:19:50] research-here: OK in 235s (917977 tok, $0.520) [done 64, failed 0]
[14:19:55] research-shopify: OK in 87s (250752 tok, $0.223) [done 65, failed 0]
[14:20:10] research-wiktionary: OK in 97s (368845 tok, $0.281) [done 66, failed 0]
[14:20:18] research-coinbase: OK in 142s (392208 tok, $0.363) [done 67, failed 0]
[14:20:27] research-spotify: OK in 85s (278690 tok, $0.237) [done 68, failed 0]
[14:20:46] research-edamam-recipe: OK in 84s (307026 tok, $0.223) [done 69, failed 0]
[14:20:55] research-icanhazdadjoke: OK in 65s (143145 tok, $0.102) [done 70, failed 0]
[14:21:00] research-steam-web-api: OK in 65s (321453 tok, $0.271) [done 71, failed 0]
[14:21:02] research-currents-api: OK in 16s (30223 tok, $0.043) [done 72, failed 0]
[14:21:21] research-navitia: OK in 274s (1318790 tok, $0.869) [done 73, failed 0]
[14:21:28] research-fixer: OK in 139s (475840 tok, $0.376) [done 74, failed 0]
[14:21:48] research-tfl-unified: OK in 19s (30351 tok, $0.014) [done 75, failed 0]
[14:21:53] research-rxnorm: OK in 86s (236488 tok, $0.156) [done 76, failed 0]
[14:22:02] research-opencage: OK in 112s (273761 tok, $0.174) [done 77, failed 0]
[14:22:16] research-postmark: OK in 74s (237993 tok, $0.254) [done 78, failed 0]
[14:22:31] research-open-meteo: OK in 95s (298169 tok, $0.311) [done 79, failed 0]
[14:22:38] research-bls: OK in 141s (253142 tok, $0.225) [done 80, failed 0]
[14:22:52] research-osv-dev: OK in 112s (269457 tok, $0.250) [done 81, failed 0]
[14:23:03] research-visual-crossing: OK in 76s (348082 tok, $0.291) [done 82, failed 0]
[14:23:16] research-serpapi: OK in 60s (201285 tok, $0.233) [done 83, failed 0]
[14:23:25] research-nba-stats: OK in 125s (384750 tok, $0.295) [done 84, failed 0]
[14:23:29] research-together-ai: OK in 96s (312582 tok, $0.313) [done 85, failed 0]
[14:23:46] research-lastfm: OK in 43s (152778 tok, $0.133) [done 86, failed 0]
[14:23:51] research-kraken: OK in 109s (378274 tok, $0.309) [done 87, failed 0]
[14:23:51] research-travis-ci: OK in 81s (326513 tok, $0.246) [done 88, failed 0]
[14:24:19] research-adyen: OK in 101s (431698 tok, $0.282) [done 89, failed 0]
[14:24:24] research-polygon-io: OK in 68s (285800 tok, $0.243) [done 90, failed 0]
[14:24:35] research-merriam-webster: OK in 103s (205243 tok, $0.293) [done 91, failed 0]
[14:24:55] research-open-food-facts: OK in 90s (244552 tok, $0.282) [done 92, failed 0]
[14:25:41] research-dailymed: OK in 81s (267645 tok, $0.281) [done 93, failed 0]
[14:25:47] research-riot-games: OK in 121s (341801 tok, $0.272) [done 94, failed 0]
[14:26:00] research-positionstack: OK in 129s (586893 tok, $0.456) [done 95, failed 0]
[14:26:04] research-gbif: OK in 89s (154015 tok, $0.145) [done 96, failed 0]
[14:26:09] research-guardian: OK in 106s (448132 tok, $0.268) [done 97, failed 0]
[14:26:21] research-virustotal: OK in 86s (359684 tok, $0.324) [done 98, failed 0]
[14:26:31] research-airnow: OK in 159s (1070845 tok, $0.576) [done 99, failed 0]
[14:26:43] research-resend: OK in 62s (236068 tok, $0.326) [done 100, failed 0]
[14:27:11] research-fireworks-ai: OK in 61s (254228 tok, $0.254) [done 101, failed 0]
[14:27:15] research-tomorrow-io: OK in 72s (293771 tok, $0.280) [done 102, failed 0]
[14:27:31] research-brave-search: OK in 61s (178066 tok, $0.187) [done 103, failed 0]
[14:27:39] research-alchemy: OK in 78s (287712 tok, $0.237) [done 104, failed 0]
[14:27:45] research-mbta-v3: OK in 105s (287493 tok, $0.239) [done 105, failed 0]
[14:27:49] research-yomomma-api: OK in 260s (1039059 tok, $0.505) [done 106, failed 0]
[14:28:26] research-jenkins: OK in 103s (247578 tok, $0.228) [done 107, failed 0]
[14:28:30] research-braintree: OK in 80s (278856 tok, $0.270) [done 108, failed 0]
[14:28:54] research-musicbrainz: OK in 83s (273191 tok, $0.256) [done 109, failed 0]
[14:29:02] research-uselessfacts: OK in 73s (194015 tok, $0.145) [done 110, failed 0]
[14:29:14] research-oxford-dictionaries: OK in 119s (524879 tok, $0.432) [done 111, failed 0]
[14:29:14] research-open-brewery-db: OK in 90s (155221 tok, $0.152) [done 112, failed 0]
[14:29:17] research-finnhub: OK in 98s (523208 tok, $0.333) [done 113, failed 0]
[14:29:20] research-mlb-stats: OK in 213s (1195483 tok, $0.575) [done 114, failed 0]
[14:30:06] research-noaa-cdo: OK in 71s (182097 tok, $0.239) [done 115, failed 0]
[14:30:17] research-medlineplus-connect: OK in 75s (217466 tok, $0.207) [done 116, failed 0]
[14:30:20] research-nhl-api: OK in 14s (30362 tok, $0.014) [done 117, failed 0]
[14:30:23] research-ipapi: OK in 113s (547467 tok, $0.400) [done 118, failed 0]
[14:30:30] research-discord: OK in 71s (232133 tok, $0.187) [done 119, failed 0]
[14:30:30] research-opendota: OK in 125s (509525 tok, $0.347) [done 120, failed 0]
[14:30:39] research-pubchem: OK in 85s (241066 tok, $0.188) [done 121, failed 0]
[14:30:56] research-urlscan-io: OK in 100s (288515 tok, $0.208) [done 122, failed 0]
[14:31:25] research-tavily: OK in 55s (199286 tok, $0.142) [done 123, failed 0]
[14:31:37] research-infura: OK in 67s (151939 tok, $0.146) [done 124, failed 0]
[14:31:50] research-weatherbit: OK in 90s (240866 tok, $0.294) [done 125, failed 0]
[14:32:18] research-mta-bustime: OK in 122s (328715 tok, $0.404) [done 126, failed 0]
[14:32:23] research-plaid: OK in 87s (225154 tok, $0.230) [done 127, failed 0]
[14:32:30] research-sourcegraph: OK in 111s (450565 tok, $0.291) [done 128, failed 0]
[14:32:32] research-deepinfra: OK in 129s (303005 tok, $0.281) [done 129, failed 0]
[14:32:51] research-ipinfo: OK in 18s (30281 tok, $0.013) [done 130, failed 0]
[14:33:04] research-twelve-data: OK in 74s (237409 tok, $0.216) [done 131, failed 0]
[14:33:05] research-listen-notes: OK in 88s (399164 tok, $0.272) [done 132, failed 0]
[14:33:22] research-wordsapi: OK in 116s (380534 tok, $0.247) [done 133, failed 0]
[14:34:06] research-punk-api: OK in 108s (372208 tok, $0.297) [done 134, failed 0]
[14:34:12] research-companies-house: OK in 82s (393087 tok, $0.261) [done 135, failed 0]
[14:34:22] research-shodan: OK in 16s (30376 tok, $0.014) [done 136, failed 0]
[14:34:23] research-disease-sh: OK in 79s (279922 tok, $0.201) [done 137, failed 0]
[14:35:09] research-slack: OK in 56s (234422 tok, $0.234) [done 138, failed 0]
[14:35:11] research-pokemontcg: OK in 161s (405683 tok, $0.330) [done 139, failed 0]
[14:35:17] research-newsdata-io: OK in 132s (273084 tok, $0.219) [done 140, failed 0]
[14:36:08] research-nytimes: OK in 413s (1780397 tok, $0.854) [done 141, failed 0]
[14:36:21] research-uniprot: OK in 179s (531210 tok, $0.363) [done 142, failed 0]
[14:36:31] research-etherscan: OK in 75s (214758 tok, $0.179) [done 143, failed 0]
[14:36:38] research-ergast-f1: OK in 136s (306130 tok, $0.236) [done 144, failed 0]
[14:36:56] research-amtrak-statusmaps: OK in 153s (488210 tok, $0.322) [done 145, failed 0]
[14:37:00] research-accuweather: OK in 111s (282981 tok, $0.238) [done 146, failed 0]
[14:37:13] research-huggingface-inference: OK in 122s (525889 tok, $0.353) [done 147, failed 0]
[14:37:22] research-open-exchange-rates: OK in 51s (275477 tok, $0.194) [done 148, failed 0]
[14:37:27] research-exa: OK in 80s (528240 tok, $0.351) [done 149, failed 0]
[14:37:45] research-datamuse: OK in 67s (153450 tok, $0.156) [done 150, failed 0]
[14:37:48] research-npm: OK in 86s (275979 tok, $0.234) [done 151, failed 0]
[14:38:08] research-numbers-api: OK in 345s (842155 tok, $0.482) [done 152, failed 0]
[14:38:39] research-google-books: OK in 103s (531896 tok, $0.311) [done 153, failed 0]
[14:38:43] research-yelp-fusion: OK in 90s (267716 tok, $0.228) [done 154, failed 0]
[14:38:44] research-scryfall: OK in 77s (156281 tok, $0.167) [done 155, failed 0]
[14:39:05] research-yahoo-finance: OK in 126s (360945 tok, $0.258) [done 156, failed 0]
[14:39:13] research-cat-facts: OK in 111s (243296 tok, $0.217) [done 157, failed 0]
[14:39:20] research-maxmind-geoip: OK in 95s (376793 tok, $0.238) [done 158, failed 0]
[14:39:59] research-uk-parliament: OK in 131s (407788 tok, $0.329) [done 159, failed 0]
[14:39:59] fleet done: ok=159 failed=0 skipped=1 tokens=51185545 cost=$41.93
