[16:34:09] fleet start: 60 jobs, concurrency 4
[16:40:57] adjudicate-birdeye: OK in 49s (117939 tok, $0.134) [done 25, failed 0]
[16:41:02] adjudicate-bing-news-search: OK in 69s (207469 tok, $0.256) [done 26, failed 0]
[16:41:30] adjudicate-brevo: OK in 29s (66008 tok, $0.113) [done 27, failed 0]
[16:41:40] adjudicate-bluesky: OK in 63s (105869 tok, $0.100) [done 28, failed 0]
[16:42:01] adjudicate-bored-api: OK in 64s (106380 tok, $0.125) [done 29, failed 0]
[16:42:02] adjudicate-bright-data: OK in 31s (110294 tok, $0.151) [done 30, failed 0]
[16:42:22] adjudicate-census-bureau: OK in 42s (226131 tok, $0.188) [done 31, failed 0]
[16:42:43] adjudicate-blockchair: OK in 142s (508061 tok, $0.307) [done 32, failed 0]
[16:42:50] adjudicate-circleci: OK in 49s (130792 tok, $0.144) [done 33, failed 0]
[16:42:54] adjudicate-cve-program: OK in 52s (107480 tok, $0.157) [done 34, failed 0]
[16:43:02] adjudicate-discord: OK in 40s (112633 tok, $0.089) [done 35, failed 0]
[16:43:28] adjudicate-etherscan: OK in 38s (169968 tok, $0.144) [done 36, failed 0]
[16:43:32] adjudicate-disease-sh: OK in 49s (160913 tok, $0.203) [done 37, failed 0]
[16:43:43] adjudicate-haveibeenpwned: OK in 15s (31051 tok, $0.059) [done 38, failed 0]
[16:43:58] adjudicate-giantbomb: OK in 56s (225412 tok, $0.213) [done 39, failed 0]
[16:44:16] adjudicate-ipapi: OK in 33s (118609 tok, $0.121) [done 40, failed 0]
[16:44:35] adjudicate-jokeapi: OK in 19s (79075 tok, $0.153) [done 41, failed 0]
[16:45:05] adjudicate-here: OK in 93s (458150 tok, $0.352) [done 42, failed 0]
[16:45:11] adjudicate-mailgun: OK in 36s (110112 tok, $0.154) [done 43, failed 0]
[16:45:33] adjudicate-ipinfo: OK in 95s (127519 tok, $0.134) [done 44, failed 0]
[16:46:21] adjudicate-newsapi: OK in 47s (102218 tok, $0.113) [done 45, failed 0]
[16:47:02] adjudicate-newsdata-io: OK in 41s (162237 tok, $0.196) [done 46, failed 0]
[16:47:17] adjudicate-fixer: OK in 262s (806906 tok, $0.570) [done 47, failed 0]
[16:47:25] adjudicate-opencage: OK in 24s (76665 tok, $0.060) [done 48, failed 0]
[16:48:08] adjudicate-oxford-dictionaries: OK in 52s (155489 tok, $0.234) [done 49, failed 0]
[16:48:16] adjudicate-mlb-stats: OK in 185s (444581 tok, $0.305) [done 50, failed 0]
[16:48:25] adjudicate-mediastack: OK in 200s (990825 tok, $0.716) [done 51, failed 0]
[16:48:25] adjudicate-rxnorm: parse failure (attempt 1): Expecting ',' delimiter: line 1365 column 3 (char 4111)
[16:48:50] adjudicate-tavily: OK in 34s (110610 tok, $0.153) [done 52, failed 0]
[16:48:50] adjudicate-serpapi: OK in 42s (88507 tok, $0.128) [done 53, failed 0]
[16:49:01] adjudicate-rxnorm: OK in 36s (101208 tok, $0.095) [done 54, failed 0]
[16:49:12] adjudicate-thecocktaildb: OK in 46s (145558 tok, $0.115) [done 55, failed 0]
[16:49:22] adjudicate-virustotal: OK in 31s (66297 tok, $0.081) [done 56, failed 0]
[16:49:48] adjudicate-visual-crossing: OK in 46s (191893 tok, $0.218) [done 57, failed 0]
[16:49:55] adjudicate-wikipedia: OK in 44s (144918 tok, $0.129) [done 58, failed 0]
[16:50:57] adjudicate-wiktionary: OK in 95s (262262 tok, $0.211) [done 59, failed 0]
[16:51:05] adjudicate-twelve-data: OK in 135s (138987 tok, $0.152) [done 60, failed 0]
[16:51:05] fleet done: ok=60 failed=0 skipped=0 tokens=12278677 cost=$11.54
